Time,avgI1rd,avgI2rd,avgDrd
8.000000e+00,3.180048e+01,1.692569e+01,1.416105e+01
8.166667e+00,3.303762e+01,1.750807e+01,1.456003e+01
8.333333e+00,3.389366e+01,1.815078e+01,1.513880e+01
8.500000e+00,3.468734e+01,1.899904e+01,1.523312e+01
8.666667e+00,3.538238e+01,1.951966e+01,1.578723e+01
8.833333e+00,3.626208e+01,2.009814e+01,1.649712e+01
9.000000e+00,3.719803e+01,2.059099e+01,1.709411e+01
9.166667e+00,3.796036e+01,2.134248e+01,1.750807e+01
9.333333e+00,3.885542e+01,2.200339e+01,1.807169e+01
9.500000e+00,3.987428e+01,2.239058e+01,1.869503e+01
9.666667e+00,4.030304e+01,2.302142e+01,1.907428e+01
9.833333e+00,4.093778e+01,2.369596e+01,1.951966e+01
1.000000e+01,4.170044e+01,2.458598e+01,2.016928e+01
1.016667e+01,4.255052e+01,2.510485e+01,2.072965e+01
1.033333e+01,4.318539e+01,2.572482e+01,2.120783e+01
1.050000e+01,4.377835e+01,2.638454e+01,2.147629e+01
1.066667e+01,4.449235e+01,2.697511e+01,2.200339e+01
1.083333e+01,4.525841e+01,2.755302e+01,2.270819e+01
1.100000e+01,4.613608e+01,2.827147e+01,2.411539e+01
1.116667e+01,4.687529e+01,2.897211e+01,2.476015e+01
1.133333e+01,4.799261e+01,2.951094e+01,2.544489e+01
1.150000e+01,4.867423e+01,3.060696e+01,2.600173e+01
1.166667e+01,4.931740e+01,3.152906e+01,2.697511e+01
1.183333e+01,5.040901e+01,3.220332e+01,2.760496e+01
1.200000e+01,5.125438e+01,3.295080e+01,2.872384e+01
1.216667e+01,5.225078e+01,3.368169e+01,2.989672e+01
1.233333e+01,5.295874e+01,3.448025e+01,3.060696e+01
1.250000e+01,5.408280e+01,3.522007e+01,3.111750e+01
1.266667e+01,5.513203e+01,3.586489e+01,3.180048e+01
1.283333e+01,5.608510e+01,3.661586e+01,3.251318e+01
1.300000e+01,5.687132e+01,3.754299e+01,3.316744e+01
1.316667e+01,5.779571e+01,3.807339e+01,3.389366e+01
1.333333e+01,5.851002e+01,3.870768e+01,3.452176e+01
1.350000e+01,5.938481e+01,3.973033e+01,3.513864e+01
1.366667e+01,6.010407e+01,4.016063e+01,3.570478e+01
1.383333e+01,6.095598e+01,4.125148e+01,3.669402e+01
1.400000e+01,6.144747e+01,4.197434e+01,3.735174e+01
1.416667e+01,6.223500e+01,4.241565e+01,3.814856e+01
1.433333e+01,6.328487e+01,4.281898e+01,3.852221e+01
1.450000e+01,6.416153e+01,4.351581e+01,3.918580e+01
1.466667e+01,6.480571e+01,4.436339e+01,3.987428e+01
1.483333e+01,6.561843e+01,4.497267e+01,4.065690e+01
1.500000e+01,6.648586e+01,4.560523e+01,4.135552e+01
1.516667e+01,6.744839e+01,4.613608e+01,4.204254e+01
1.533333e+01,6.812458e+01,4.711912e+01,4.281898e+01
1.550000e+01,6.893972e+01,4.784314e+01,4.364728e+01
1.566667e+01,6.970425e+01,4.849734e+01,4.433109e+01
1.583333e+01,7.076476e+01,4.952029e+01,4.525841e+01
1.600000e+01,7.144966e+01,5.018117e+01,4.619814e+01
1.616667e+01,7.248464e+01,5.097415e+01,4.684473e+01
1.633333e+01,7.311427e+01,5.181030e+01,4.760303e+01
1.650000e+01,7.397126e+01,5.274192e+01,4.817135e+01
1.666667e+01,7.483757e+01,5.317468e+01,4.887979e+01
1.683333e+01,7.548553e+01,5.416220e+01,4.949136e+01
1.700000e+01,7.648463e+01,5.460994e+01,5.046580e+01
1.716667e+01,7.741536e+01,5.539124e+01,5.122643e+01
1.733333e+01,7.822525e+01,5.611063e+01,5.197592e+01
1.750000e+01,7.911741e+01,5.674524e+01,5.246963e+01
1.766667e+01,7.989211e+01,5.714770e+01,5.325543e+01
1.783333e+01,8.060609e+01,5.769649e+01,5.408280e+01
1.800000e+01,8.134902e+01,5.814165e+01,5.481937e+01
1.816667e+01,8.239872e+01,5.887610e+01,5.541709e+01
1.833333e+01,8.312563e+01,5.988920e+01,5.590604e+01
1.850000e+01,8.393162e+01,6.072054e+01,5.672000e+01
1.866667e+01,8.481442e+01,6.163368e+01,5.742275e+01
1.883333e+01,8.558776e+01,6.251058e+01,5.814165e+01
1.900000e+01,8.648679e+01,6.305812e+01,5.894904e+01
1.916667e+01,8.726173e+01,6.375842e+01,5.972154e+01
1.933333e+01,8.806239e+01,6.433988e+01,6.055518e+01
1.950000e+01,8.887195e+01,6.511442e+01,6.095598e+01
1.966667e+01,8.978595e+01,6.583636e+01,6.163368e+01
1.983333e+01,9.029501e+01,6.646431e+01,6.246473e+01
2.000000e+01,9.110046e+01,6.727828e+01,6.323959e+01
2.016667e+01,9.183648e+01,6.789290e+01,6.391548e+01
2.033333e+01,9.267490e+01,6.879412e+01,6.465081e+01
2.050000e+01,9.364357e+01,6.968369e+01,6.557475e+01
2.066667e+01,9.445080e+01,7.021611e+01,6.618355e+01
2.083333e+01,9.523614e+01,7.124890e+01,6.691536e+01
2.100000e+01,9.597029e+01,7.192919e+01,6.761807e+01
2.116667e+01,9.686167e+01,7.268198e+01,6.833452e+01
2.133333e+01,9.761295e+01,7.352453e+01,6.920930e+01
2.150000e+01,9.850401e+01,7.406802e+01,7.001181e+01
2.166667e+01,9.928615e+01,7.506690e+01,7.086590e+01
2.183333e+01,1.002052e+02,7.569398e+01,7.178966e+01
2.200000e+01,1.009600e+02,7.654080e+01,7.240555e+01
2.216667e+01,1.017655e+02,7.732279e+01,7.334899e+01
2.233333e+01,1.025926e+02,7.802356e+01,7.426115e+01
2.250000e+01,1.034961e+02,7.886353e+01,7.491409e+01
2.266667e+01,1.043644e+02,7.978447e+01,7.569398e+01
2.283333e+01,1.051574e+02,8.060609e+01,7.648463e+01
2.300000e+01,1.059986e+02,8.157760e+01,7.719301e+01
2.316667e+01,1.069136e+02,8.236395e+01,7.798684e+01
2.333333e+01,1.076213e+02,8.305668e+01,7.886353e+01
2.350000e+01,1.083773e+02,8.382916e+01,7.962272e+01
2.366667e+01,1.094557e+02,8.459458e+01,8.048160e+01
2.383333e+01,1.103550e+02,8.548729e+01,8.126093e+01
2.400000e+01,1.112083e+02,8.635419e+01,8.208522e+01
2.416667e+01,1.120680e+02,8.696576e+01,8.295314e+01
2.433333e+01,1.129338e+02,8.785068e+01,8.348671e+01
2.450000e+01,1.137174e+02,8.856519e+01,8.427225e+01
2.466667e+01,1.143079e+02,8.941826e+01,8.523558e+01
2.483333e+01,1.150449e+02,9.034259e+01,8.605510e+01
2.500000e+01,1.158143e+02,9.089583e+01,8.688336e+01
2.516667e+01,1.169711e+02,9.171162e+01,8.762211e+01
2.533333e+01,1.177522e+02,9.259759e+01,8.838710e+01
2.550000e+01,1.185402e+02,9.352112e+01,8.903298e+01
2.566667e+01,1.192871e+02,9.432939e+01,8.986568e+01
2.583333e+01,1.200889e+02,9.504041e+01,9.076967e+01
2.600000e+01,1.210394e+02,9.577606e+01,9.141438e+01
2.616667e+01,1.217238e+02,9.658029e+01,9.227217e+01
2.633333e+01,1.226733e+02,9.728958e+01,9.313743e+01
2.650000e+01,1.234879e+02,9.806680e+01,9.394900e+01
2.666667e+01,1.243664e+02,9.895377e+01,9.467801e+01
2.683333e+01,1.251013e+02,9.970365e+01,9.549148e+01
2.700000e+01,1.259003e+02,1.005762e+02,9.631296e+01
2.716667e+01,1.266942e+02,1.013282e+02,9.695036e+01
2.733333e+01,1.274607e+02,1.020326e+02,9.773027e+01
2.750000e+01,1.281890e+02,1.028854e+02,9.859122e+01
2.766667e+01,1.290910e+02,1.035376e+02,9.944472e+01
2.783333e+01,1.299315e+02,1.043644e+02,1.001051e+02
2.800000e+01,1.307229e+02,1.052255e+02,1.007327e+02
2.816667e+01,1.316074e+02,1.059851e+02,1.014553e+02
2.833333e+01,1.323887e+02,1.069136e+02,1.023549e+02
2.850000e+01,1.330686e+02,1.077277e+02,1.030801e+02
2.866667e+01,1.340125e+02,1.084830e+02,1.041171e+02
2.883333e+01,1.348755e+02,1.092985e+02,1.050075e+02
2.900000e+01,1.357752e+02,1.099649e+02,1.056195e+02
2.916667e+01,1.367738e+02,1.108083e+02,1.063224e+02
2.933333e+01,1.375258e+02,1.115684e+02,1.071277e+02
2.950000e+01,1.382218e+02,1.123361e+02,1.079668e+02
2.966667e+01,1.389969e+02,1.130606e+02,1.087467e+02
2.983333e+01,1.398189e+02,1.137426e+02,1.095603e+02
3.000000e+01,1.405444e+02,1.146832e+02,1.101601e+02
3.016667e+01,1.413168e+02,1.155666e+02,1.109375e+02
3.033333e+01,1.421657e+02,1.163572e+02,1.118377e+02
3.050000e+01,1.430696e+02,1.170445e+02,1.125908e+02
